MIB Module,Object Name,OID,Kind,Syntax,Access,Description
ACTELIS-SERV-MON-MIB,evcConfBWProfileID,1.3.6.1.4.1.5468.4.1.3.1.1.11,column,Unsigned32,read-only,BW Profile Index(as configured in TL1)attached to the EVC Service. ML models with SW below R8.00 do not support this leaf.
ACTELIS-SERV-MON-MIB,evcConfBWProfileDescr,1.3.6.1.4.1.5468.4.1.3.1.1.12,column,DisplayString,read-only,BW Profile Description (as configured in TL1)attached to the EVC Service. ML models with SW below R8.00 do not support this leaf.
ACTELIS-SERV-MON-MIB,evcConfBWProfileCIR,1.3.6.1.4.1.5468.4.1.3.1.1.13,column,Integer32,read-only,"BW Profile CIR (as configured in TL1)attached to the EVC Service, in Kbps units. Value of 999,999 is reported for UNLIMITED parameter. ML models with SW below R8.00 do not support this leaf."
ACTELIS-SERV-MON-MIB,evcConfBWProfileCBS,1.3.6.1.4.1.5468.4.1.3.1.1.14,column,Integer32,read-only,"BW Profile CBS (as configured in TL1)attached to the EVC Service, in BYTES units. Value of 999,999 is reported for UNLIMITED parameter. ML models with SW below R8.00 do not support this leaf."
ACTELIS-SERV-MON-MIB,evcConfBWProfileEIR,1.3.6.1.4.1.5468.4.1.3.1.1.15,column,Integer32,read-only,"BW Profile EIR (as configured in TL1)attached to the EVC Service, in Kbps units. Value of 999,999 is reported for UNLIMITED parameter. ML models with SW below R8.00 do not support this leaf."
ACTELIS-SERV-MON-MIB,evcConfBWProfileEBS,1.3.6.1.4.1.5468.4.1.3.1.1.16,column,Integer32,read-only,"BW Profile EBS (as configured in TL1)attached to the EVC Service, in BYTES units. Value of 999,999 is reported for UNLIMITED parameter. ML models with SW below R8.00 do not support this leaf."
ACTELIS-SERV-MON-MIB,flFlrELine1DayMEPID,1.3.6.1.4.1.5468.4.1.4.1.1.1,column,Dot1agCfmMepId,read-only,This parameter uniquely identifies the MEP in it's MEG.
ACTELIS-SERV-MON-MIB,flFlrELine1DayPortID,1.3.6.1.4.1.5468.4.1.4.1.1.2,column,InterfaceIndex,read-only,An unique value of port interface on which MEP is reported. It is an index from IfTable for ETH-x or HSL-x ports. Note: Multiple MEPs may be applied on the same port.
ACTELIS-SERV-MON-MIB,flFlrELineCurr1DayIntervalStart,1.3.6.1.4.1.5468.4.1.4.1.1.3,column,DateAndTime,read-only,This attribute specifies timestampt of current interval start for measurements done: FL and FLR.
ACTELIS-SERV-MON-MIB,flFlrELineCurr1DayIntervalValidity,1.3.6.1.4.1.5468.4.1.4.1.1.4,column,IntervalValidity,read-only,"Interval validity other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is accumulated over some portion of the time period."
ACTELIS-SERV-MON-MIB,flFlrELineCurr1DayFLIngress,1.3.6.1.4.1.5468.4.1.4.1.1.5,column,Counter32,read-only,Frame Loss on NEND or Ingress (MEP RX direction quality) measurement provided in frames.
ACTELIS-SERV-MON-MIB,flFlrELineCurr1DayFLEgress,1.3.6.1.4.1.5468.4.1.4.1.1.6,column,Counter32,read-only,Frame Loss on FEND or Egress (MEP TX direction quality) measurement provided in frames.
ACTELIS-SERV-MON-MIB,flFlrELineCurr1DayFLRIngress,1.3.6.1.4.1.5468.4.1.4.1.1.7,column,Unsigned32,read-only,"Frame Loss Ratio on NEND or Ingress (MEP RX direction quality) measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio."
ACTELIS-SERV-MON-MIB,flFlrELineCurr1DayFLREgress,1.3.6.1.4.1.5468.4.1.4.1.1.8,column,Unsigned32,read-only,"Frame Loss Ratio on FEND or Egress (MEP TX direction quality) measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio."
ACTELIS-SERV-MON-MIB,flFlrELinePrev1DayIntervalStop,1.3.6.1.4.1.5468.4.1.4.1.1.9,column,DateAndTime,read-only,This attribute specifies timestamp of history interval stop for measurements done: FL and FLR.
ACTELIS-SERV-MON-MIB,flFlrELinePrev1DayIntervalValidity,1.3.6.1.4.1.5468.4.1.4.1.1.10,column,IntervalValidity,read-only,"Interval validity valid values are: other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is accumulated over some portion of the time period."
ACTELIS-SERV-MON-MIB,flFlrELinePrev1DayFLIngress,1.3.6.1.4.1.5468.4.1.4.1.1.11,column,Counter32,read-only,Frame Loss on NEND or Ingress (MEP RX direction quality) measurement provided in frames.
ACTELIS-SERV-MON-MIB,flFlrELinePrev1DayFLEgress,1.3.6.1.4.1.5468.4.1.4.1.1.12,column,Counter32,read-only,Frame Loss on FEND or Egress (MEP TX direction quality) measurement provided in frames.
ACTELIS-SERV-MON-MIB,flFlrELinePrev1DayFLRIngress,1.3.6.1.4.1.5468.4.1.4.1.1.13,column,Unsigned32,read-only,"Frame Loss Ratio on NEND or Ingress (MEP RX direction quality) measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio."
ACTELIS-SERV-MON-MIB,flFlrELinePrev1DayFLREgress,1.3.6.1.4.1.5468.4.1.4.1.1.14,column,Unsigned32,read-only,"Frame Loss Ratio on FEND (MEP TX direction quality) measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio."
ACTELIS-SERV-MON-MIB,flFlrELine15MinMEPID,1.3.6.1.4.1.5468.4.1.4.2.1.1,column,Dot1agCfmMepId,read-only,This parameter uniquely identifies the MEP in it's MEG.
ACTELIS-SERV-MON-MIB,flFlrELine15MinPortID,1.3.6.1.4.1.5468.4.1.4.2.1.2,column,InterfaceIndex,read-only,An unique value of port interface on which MEP is reported. It is an index from IfTable for ETH-x or HSL-x ports. Multiple MEPs may be applied on the same port.
ACTELIS-SERV-MON-MIB,flFlrELineCurr15minIntervalStart,1.3.6.1.4.1.5468.4.1.4.2.1.3,column,DateAndTime,read-only,This attribute specifies timestampt of current interval start for measurements done: FL and FLR.
ACTELIS-SERV-MON-MIB,flFlrELineCurr15minIntervalValidity,1.3.6.1.4.1.5468.4.1.4.2.1.4,column,IntervalValidity,read-only,"Interval validity other(1),unknown(2), adjusted(3), completed(4),long(5), notavailable(6), off(7), partial(8). Where ADJ - Data has been manually adjusted or initialized. COMPL - Data has been accumulated over the entire time period. LONG - Data accumulated over greater than the indicated time period. NA - Data is not available. OFF - Performance monitoring was turned off by the SET-PMMODE command. PRTL - Data is accumulated over some portion of the time period."
ACTELIS-SERV-MON-MIB,flFlrELineCurr15minFLIngress,1.3.6.1.4.1.5468.4.1.4.2.1.5,column,Counter32,read-only,Frame Loss on NEND or Ingress (MEP RX direction quality) measurement provided in frames. All is counted starting from current (15-min) interval.
ACTELIS-SERV-MON-MIB,flFlrELineCurr15minFLEgress,1.3.6.1.4.1.5468.4.1.4.2.1.6,column,Counter32,read-only,Frame Loss on FEND or Egress (MEP TX direction quality) measurement provided in frames. All is counted starting from current (15-min) interval.
ACTELIS-SERV-MON-MIB,flFlrELineCurr15minFLRIngress,1.3.6.1.4.1.5468.4.1.4.2.1.7,column,Unsigned32,read-only,"Frame Loss Ratio on NEND or Ingress (MEP RX direction quality) measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio. All is counted starting from current (15-min) interval."
ACTELIS-SERV-MON-MIB,flFlrELineCurr15minFLREgress,1.3.6.1.4.1.5468.4.1.4.2.1.8,column,Unsigned32,read-only,"Frame Loss Ratio on FEND or Egress (MEP TX direction quality) measurement provided as 1 = 0.0001% , i.e. 50 means 0.005% of Frame Loss Ratio. All is counted starting from current (15-min) interval."
ACTELIS-SERV-MON-MIB,flFlrELinePrev15minIntervalStop,1.3.6.1.4.1.5468.4.1.4.2.1.9,column,DateAndTime,read-only,This attribute specifies timestamp of history interval stop for measurements done: FL and FLR.
