device_type,mib_module,object_name,oid,kind,data_type,textual_convention,unit,unit_source,access,configurable,table_index,nsp_attribute_name,description
dsl-modem,ML620R-MIB,routeNetmask,1.3.6.1.4.1.5468.510.1.6.1.3,column,string,,,,read-only,no,no,routeNetmask,Description.
dsl-modem,ML620R-MIB,routeGateway,1.3.6.1.4.1.5468.510.1.6.1.4,column,string,,,,read-only,no,no,routeGateway,Description.
dsl-modem,ML620R-MIB,firmwareVersion,1.3.6.1.4.1.5468.510.1.7.1,scalar,string,,,,read-only,no,no,firmwareVersion,Description.
dsl-modem,ML620R-MIB,firmwareDate,1.3.6.1.4.1.5468.510.1.7.2,scalar,string,,,,read-only,no,no,firmwareDate,Description.
dsl-modem,ML620R-MIB,deviceMAC,1.3.6.1.4.1.5468.510.1.7.3,scalar,string,,,,read-only,no,no,deviceMAC,Description.
dsl-modem,ML620R-MIB,deviceUptime,1.3.6.1.4.1.5468.510.1.7.4,scalar,string,,,,read-only,no,no,deviceUptime,Device Uptime.
dsl-modem,ML620R-MIB,hslUptime,1.3.6.1.4.1.5468.510.1.7.5,scalar,string,,,,read-only,no,no,hslUptime,Hsl Uptime.
dsl-modem,ML620R-MIB,serviceType,1.3.6.1.4.1.5468.510.2.1.1,scalar,boolean-enum,,,,read-write,yes,no,serviceType,Description.
dsl-modem,ML620R-MIB,wireMode,1.3.6.1.4.1.5468.510.2.1.2,scalar,enum,,,,read-write,yes,no,wireMode,Description.
dsl-modem,ML620R-MIB,standType,1.3.6.1.4.1.5468.510.2.1.3,scalar,enum,,,,read-write,yes,no,standType,Description.
dsl-modem,ML620R-MIB,lineProbe,1.3.6.1.4.1.5468.510.2.1.4,scalar,enum,,,,read-write,yes,no,lineProbe,Description.
dsl-modem,ML620R-MIB,minimumRate,1.3.6.1.4.1.5468.510.2.1.5,scalar,string,,,,read-write,yes,no,minimumRate,Description.
dsl-modem,ML620R-MIB,maximumRate,1.3.6.1.4.1.5468.510.2.1.6,scalar,string,,,,read-write,yes,no,maximumRate,Description.
dsl-modem,ML620R-MIB,dslMode,1.3.6.1.4.1.5468.510.2.1.7,scalar,enum,,,,read-write,yes,no,dslMode,Description.
dsl-modem,ML620R-MIB,capListStyle,1.3.6.1.4.1.5468.510.2.1.8,scalar,enum,,,,read-write,yes,no,capListStyle,Description.
